Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SMA_20,EMA_20,RSI_14,Bollinger_Upper,Bollinger_Lower,Return,Lag1_Return,Volatility_10,MACD,MACD_signal
2019-07-03,ADANIPORTS,EQ,414.05,414.0,419.5,414.0,414.3,414.9,416.51,2542307,105888821565000.0,40115.0,807188,0.3175,416.025,411.56996796663014,41.32873166522864,434.17604752662555,397.8739524733744,0.0020528921627822605,0.0019358741681791969,0.012521435466592469,2.188787946608386,3.3589257095762317
2019-07-04,ADANIPORTS,EQ,414.9,416.0,417.25,413.35,415.4,414.9,415.45,1101623,45766398135000.0,16456.0,221164,0.2007999999999999,415.45500000000004,411.88711387457016,39.823008849557525,432.95164328703737,397.9583567129627,0.0,0.0020528921627822605,0.010920702255623978,2.2344853713462385,3.1340376419302336
2019-07-05,ADANIPORTS,EQ,414.9,416.4,416.5,400.55,403.0,402.45,409.42,1670037,68373878829999.99,32403.0,376232,0.2253,414.3175,410.9883411246111,34.40366972477062,432.10227394313966,396.5327260568603,-0.030007230657989825,0.0,0.015224638586332509,1.2516615830770093,2.757562430159589
2019-07-08,ADANIPORTS,EQ,402.45,401.0,404.45,395.95,397.55,397.8,400.35,1648021,65978461660000.0,32490.0,253874,0.154,412.91999999999996,409.73230863655294,32.798833819242006,431.30467325041116,394.53532674958876,-0.011554230339172467,-0.030007230657989825,0.015215802392833879,0.09643882493935507,2.2253377091155424
2019-07-09,ADANIPORTS,EQ,397.8,397.7,406.0,392.65,405.35,405.0,399.88,1952280,78068437460000.0,25954.0,365554,0.1872,411.855,409.2816125759288,47.82608695652175,429.4259059766476,394.28409402335245,0.018099547511312153,-0.011554230339172467,0.016492107693109707,-0.23539027417069747,1.7331921124582945
2019-07-10,ADANIPORTS,EQ,405.0,406.95,408.8,402.35,404.4,405.0,405.36,2023029,82004890220000.0,33873.0,490305,0.2423999999999999,410.85749999999996,408.8738399496499,53.41726618705037,427.5410019357508,394.17399806424913,0.0,0.018099547511312153,0.014406882511957344,-0.4926878273290072,1.2880161245008344
2019-07-11,ADANIPORTS,EQ,405.0,408.2,413.7,403.9,411.4,412.9,410.3,1732979,71103447145000.0,35159.0,553194,0.3192,410.255,409.257283763969,58.69218500797448,425.61334763584176,394.89665236415823,0.019506172839506064,0.0,0.01437843874145278,-0.05846012308182935,1.0187208749843017
2019-07-12,ADANIPORTS,EQ,412.9,411.95,419.4,409.6,415.9,415.3,414.97,2818537,116962084420000.0,48722.0,1099524,0.3901,409.7,409.83278054835284,57.610474631751245,423.303830729777,396.09616927022296,0.005812545410511127,0.019506172839506064,0.01422600478898252,0.47386597139194464,0.9097498942658304
2019-07-15,ADANIPORTS,EQ,415.3,413.55,416.2,408.1,411.0,409.1,411.88,2601603,107154436850000.0,42239.0,1329007,0.5108,409.0125,409.7629919247002,52.57654966392835,421.1263404966,396.8986595034,-0.014928967011798688,0.005812545410511127,0.014901116425471794,0.39094349872732437,0.8059886151581293
2019-07-16,ADANIPORTS,EQ,409.1,411.65,421.5,407.65,420.7,417.75,413.75,2111513,87364654940000.0,69950.0,799469,0.3786,408.83000000000004,410.52365936044305,52.11161387631977,420.248055876467,397.4119441235331,0.021143974578342606,-0.014928967011798688,0.016464471286627404,1.0115490429504348,0.8471007007165904
2019-07-17,ADANIPORTS,EQ,417.75,420.2,421.1,414.3,417.0,417.05,417.57,1698318,70916680755000.0,38052.0,462815,0.2725,409.2975,411.1452156118294,59.009393680614885,421.2728024353946,397.3221975646054,-0.0016756433273488192,0.021143974578342606,0.016480502329784125,1.4304103776786405,0.9637626361090004
2019-07-18,ADANIPORTS,EQ,417.05,416.7,419.3,410.75,413.6,412.4,415.04,1300071,53958604895000.01,33677.0,313479,0.2411,409.85749999999996,411.2647188868933,51.848739495798306,421.27283018164616,398.44216981835376,-0.011149742237141935,-0.0016756433273488192,0.016900397159291036,1.3713369461673324,1.045277498120667
